id,benchmark,model,backend,repetition,issue_categories,prior_success,corrected_success,prior_median_time_ms,corrected_median_time_ms,median_time_ratio,corrected_median_wall_seconds,wall_to_reported_time_ratio,corrected_repeat_spread_ratio,corrected_under_200ms,prior_overall_score,corrected_overall_score,score_delta,original_source_url,corrected_source_url
black-scholes_claude-haiku-4.5_hybrid_r3,black-scholes,claude-haiku-4.5,hybrid,3,missing_rank_aggregation;rank_local_timing;missing_start_synchronization,true,true,1033.519,1030.993,0.9975559230164128,17.409624214284122,16.886268106848565,1.0063135150721656,false,7,6,-1,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260215-162417/black-scholes_claude-haiku-4.5_hybrid_r3,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260215-162417/black-scholes_claude-haiku-4.5_hybrid_r3
black-scholes_claude-haiku-4.5_hybrid_r4,black-scholes,claude-haiku-4.5,hybrid,4,missing_start_synchronization;missing_rank_aggregation;rank_local_timing;wrong_mpi_datatype,true,true,1804.553,1787.672,0.990645328787794,19.86392704024911,11.111617254311254,1.009181637843479,false,7,6,-1,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260215-162417/black-scholes_claude-haiku-4.5_hybrid_r4,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260215-162417/black-scholes_claude-haiku-4.5_hybrid_r4
black-scholes_claude-haiku-4.5_mpi_r1,black-scholes,claude-haiku-4.5,mpi,1,missing_rank_aggregation;rank_local_timing,true,true,13.594,15.042,1.1065175812858614,21.869678911753,1453.9076526893364,1.2071445321660284,true,9,9,0,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260215-162417/black-scholes_claude-haiku-4.5_mpi_r1,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260215-162417/black-scholes_claude-haiku-4.5_mpi_r1
black-scholes_claude-haiku-4.5_mpi_r2,black-scholes,claude-haiku-4.5,mpi,2,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true,8.365,15.979,1.9102211595935443,16.158877323381603,1011.2571076651608,1.8189550425273389,true,9,9,0,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260215-162417/black-scholes_claude-haiku-4.5_mpi_r2,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260215-162417/black-scholes_claude-haiku-4.5_mpi_r2
black-scholes_claude-haiku-4.5_mpi_r3,black-scholes,claude-haiku-4.5,mpi,3,missing_start_synchronization;missing_rank_aggregation;rank_local_timing,true,true,39.356,348.347,8.851178981603821,16.00654755719006,45.950008345672735,1.0784890263678808,false,8,8,0,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260215-162417/black-scholes_claude-haiku-4.5_mpi_r3,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260215-162417/black-scholes_claude-haiku-4.5_mpi_r3
black-scholes_claude-haiku-4.5_mpi_r5,black-scholes,claude-haiku-4.5,mpi,5,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true,11.574,8.724,0.753758424053914,16.15646689478308,1851.9563153121364,1.8577865064695007,true,9,9,0,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260215-162417/black-scholes_claude-haiku-4.5_mpi_r5,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260215-162417/black-scholes_claude-haiku-4.5_mpi_r5
black-scholes_claude-opus-4.6_hybrid_r1,black-scholes,claude-opus-4.6,hybrid,1,missing_start_synchronization;missing_rank_aggregation;rank_local_timing,true,true,1044.498,1050.563,1.0058066171500568,7.336770888417959,6.983656276128094,1.0105193606578011,false,7,6,-1,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260215-162417/black-scholes_claude-opus-4.6_hybrid_r1,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260215-162417/black-scholes_claude-opus-4.6_hybrid_r1
black-scholes_claude-opus-4.6_hybrid_r2,black-scholes,claude-opus-4.6,hybrid,2,missing_start_synchronization;missing_rank_aggregation;rank_local_timing,true,true,2383.245,2385.094,1.0007758329504521,15.657380297780037,6.564680594467152,1.0025169258958853,false,7,6,-1,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260215-162417/black-scholes_claude-opus-4.6_hybrid_r2,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260215-162417/black-scholes_claude-opus-4.6_hybrid_r2
black-scholes_claude-opus-4.6_hybrid_r3,black-scholes,claude-opus-4.6,hybrid,3,missing_start_synchronization;missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true,33.363,33.433,1.002098132661931,8.789854858070612,262.9095461989834,1.0012876950259035,true,9,9,0,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260215-162417/black-scholes_claude-opus-4.6_hybrid_r3,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260215-162417/black-scholes_claude-opus-4.6_hybrid_r3
black-scholes_claude-opus-4.6_hybrid_r4,black-scholes,claude-opus-4.6,hybrid,4,missing_rank_aggregation;rank_local_timing,true,true,33.384,33.337,0.9985921399472802,8.641154530458152,259.2061232401881,1.0022210216699683,true,9,9,0,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260215-162417/black-scholes_claude-opus-4.6_hybrid_r4,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260215-162417/black-scholes_claude-opus-4.6_hybrid_r4
