benchmark,model,par_type,run,input_tokens,output_tokens,cached_tokens,api_time,total_time,code_additions,code_deletions,non_whitelisted_dependencies,validation_status,validation_err_string,benchmark_success,benchmark_times,benchmark_median_time,source_batch,source_path,total_tokens,benchmark_wall_times,benchmark_config_sha256,timing_fixed,timing_fix_issue_categories,original_source_commit,corrected_source_commit,original_source_digest,corrected_source_digest,original_source_url,corrected_source_url,source_correction_amendment_sha256,overall_score
black-scholes,claude-haiku-4.5,cuda,1,781300.0,8700.0,749800.0,79.267,109.37,122,10,"",5,"",true,741.537;745.597;737.015;745.133;747.044,745.133,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-haiku-4.5_cuda_r1,790000.0,3.225634479895234;3.2249129582196474;3.175762196071446;3.225593348965049;3.2257999815046787,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970,false,,,,,,,,,7
black-scholes,claude-haiku-4.5,cuda,2,829600.0,9800.0,802100.0,87.019,127.23,79,42,"",5,"",true,743.073;753.933;745.224;751.494;751.975,751.494,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-haiku-4.5_cuda_r2,839400.0,3.225899076089263;3.2256179600954056;3.225998640060425;3.2260383926331997;3.2250800793990493,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970,false,,,,,,,,,7
black-scholes,claude-haiku-4.5,cuda,3,1300000.0,11300.0,1300000.0,129.028,185.01,77,13,"",5,"",true,48.84;48.632;48.817;48.793;48.821,48.817,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-haiku-4.5_cuda_r3,1311300.0,3.0255756387487054;3.0258996849879622;3.025445298291743;2.9755618944764137;2.975403022952378,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970,false,,,,,,,,,9
black-scholes,claude-haiku-4.5,cuda,4,763900.0,9200.0,736200.0,100.0,282.3,77,12,"",5,"",true,44.368;47.308;51.923;50.285;48.867,48.867,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-haiku-4.5_cuda_r4,773100.0,3.2259526904672384;3.22506654728204;3.2252539563924074;3.2259161435067654;3.2256359653547406,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970,false,,,,,,,,,9
black-scholes,claude-haiku-4.5,cuda,5,958300.0,8700.0,916300.0,87.0,388.87,67,24,"",5,"",true,48.149;44.702;49.364;52.563;52.508,49.364,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-haiku-4.5_cuda_r5,967000.0,3.226451870985329;3.2258478458970785;3.22657835111022;3.2259874753654003;3.2257254058495164,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970,false,,,,,,,,,9
black-scholes,claude-haiku-4.5,hybrid,1,2100000.0,23800.0,2000000.0,202.382,307.84,239,77,"",5,"",false,,,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-haiku-4.5_hybrid_r1,2123800.0,"",20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970,false,,,,,,,,,5
black-scholes,claude-haiku-4.5,hybrid,2,3400000.0,30600.0,3400000.0,267.579,392.82,676,96,"",5,"",false,,,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-haiku-4.5_hybrid_r2,3430600.0,"",20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970,false,,,,,,,,,5
black-scholes,claude-haiku-4.5,hybrid,3,1300000.0,19200.0,1300000.0,162.475,290.05,199,55,"",5,"",true,1039.253;1026.528;1030.993;1033.009;1019.078,1030.993,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-haiku-4.5_hybrid_r3,1319200.0,17.409624214284122;17.66045284550637;17.409036225639284;17.609444873407483;17.407791076228023,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970,true,missing_rank_aggregation;rank_local_timing;missing_start_synchronization,e8d10c43d7fcdca42862537b0eb7d0d5fab6da66,e897bbe48e877ecbd8873ee1c666b6f394c0344b,c8b3eeaeeedcbee364589474866a83a70465f91f980812aa2a2fca1a4077b550,0b75a3fd6ffb041289897d24ad23217a43a131c3d858f132bcde99d053b8dd09,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260215-162417/black-scholes_claude-haiku-4.5_hybrid_r3,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260215-162417/black-scholes_claude-haiku-4.5_hybrid_r3,979ebae4ea2b8feedb86dfb56cab0466777c56421d5e169d11b5a6bc5fb1ca29,6
black-scholes,claude-haiku-4.5,hybrid,4,2200000.0,22100.0,2100000.0,220.0,919.39,238,94,"",5,"",true,1780.395;1787.045;1809.095;1787.672;1803.453,1787.672,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-haiku-4.5_hybrid_r4,2222100.0,19.96571912523359;19.813688698224723;19.863059629686177;19.86392704024911;19.86401415243745,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970,true,missing_start_synchronization;missing_rank_aggregation;rank_local_timing;wrong_mpi_datatype,e8d10c43d7fcdca42862537b0eb7d0d5fab6da66,e897bbe48e877ecbd8873ee1c666b6f394c0344b,a565f623e709f7bb9ba5860d06f9949937a11d34e511fc17d4b3122bd438a0d7,ce8d686b8e88bb735d999729a6fe0b52ac3bed4d33f8b30caef102aa53111bea,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260215-162417/black-scholes_claude-haiku-4.5_hybrid_r4,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260215-162417/black-scholes_claude-haiku-4.5_hybrid_r4,979ebae4ea2b8feedb86dfb56cab0466777c56421d5e169d11b5a6bc5fb1ca29,6
black-scholes,claude-haiku-4.5,hybrid,5,3200000.0,41100.0,3100000.0,322.0,873.1,355,154,"",5,"",false,,,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-haiku-4.5_hybrid_r5,3241100.0,"",20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970,false,,,,,,,,,5
