id,benchmark,model,backend,repetition,timing_fixed,prior_overall_score,corrected_overall_score,score_delta
black-scholes_claude-haiku-4.5_hybrid_r3,black-scholes,claude-haiku-4.5,hybrid,3,true,7,6,-1
black-scholes_claude-haiku-4.5_hybrid_r4,black-scholes,claude-haiku-4.5,hybrid,4,true,7,6,-1
black-scholes_claude-opus-4.6_hybrid_r1,black-scholes,claude-opus-4.6,hybrid,1,true,7,6,-1
black-scholes_claude-opus-4.6_hybrid_r2,black-scholes,claude-opus-4.6,hybrid,2,true,7,6,-1
black-scholes_claude-sonnet-4.5_hybrid_r3,black-scholes,claude-sonnet-4.5,hybrid,3,true,8,7,-1
black-scholes_claude-sonnet-4.5_hybrid_r5,black-scholes,claude-sonnet-4.5,hybrid,5,false,7,6,-1
black-scholes_gpt-4.1_mpi_r1,black-scholes,gpt-4.1,mpi,1,true,6,9,3
black-scholes_gpt-5-mini_hybrid_r4,black-scholes,gpt-5-mini,hybrid,4,true,7,6,-1
black-scholes_gpt-5-mini_mpi_r3,black-scholes,gpt-5-mini,mpi,3,true,7,8,1
black-scholes_gpt-5.2_hybrid_r1,black-scholes,gpt-5.2,hybrid,1,false,8,7,-1
black-scholes_gpt-5.2_hybrid_r3,black-scholes,gpt-5.2,hybrid,3,false,7,6,-1
black-scholes_gpt-5.6-luna-low_hybrid_r3,black-scholes,gpt-5.6-luna-low,hybrid,3,true,7,6,-1
black-scholes_gpt-5.6-luna-low_mpi_r1,black-scholes,gpt-5.6-luna-low,mpi,1,false,7,8,1
black-scholes_gpt-5.6-luna-medium_hybrid_r1,black-scholes,gpt-5.6-luna-medium,hybrid,1,false,8,7,-1
black-scholes_gpt-5.6-luna-medium_hybrid_r4,black-scholes,gpt-5.6-luna-medium,hybrid,4,false,7,6,-1
black-scholes_gpt-5.6-luna-medium_hybrid_r5,black-scholes,gpt-5.6-luna-medium,hybrid,5,false,7,6,-1
black-scholes_gpt-5.6-terra-low_hybrid_r3,black-scholes,gpt-5.6-terra-low,hybrid,3,false,8,7,-1
black-scholes_gpt-5.6-terra-medium_hybrid_r5,black-scholes,gpt-5.6-terra-medium,hybrid,5,false,8,7,-1
black-scholes_qwen-3.6-27B-udq4-pi-t_hybrid_r1,black-scholes,qwen-3.6-27B-udq4-pi-t,hybrid,1,true,8,7,-1
black-scholes_qwen3.7-plus_hybrid_r1,black-scholes,qwen3.7-plus,hybrid,1,false,8,7,-1
black-scholes_qwen3.7-plus_hybrid_r3,black-scholes,qwen3.7-plus,hybrid,3,false,7,6,-1
cahn-hilliard_claude-sonnet-4.5_mpi_r1,cahn-hilliard,claude-sonnet-4.5,mpi,1,true,6,7,1
cholesky_claude-opus-4.6_hybrid_r2,cholesky,claude-opus-4.6,hybrid,2,true,7,8,1
cholesky_claude-opus-4.6_hybrid_r5,cholesky,claude-opus-4.6,hybrid,5,true,8,9,1
cholesky_gpt-5.6-luna-xhigh_hybrid_r4,cholesky,gpt-5.6-luna-xhigh,hybrid,4,false,8,9,1
cholesky_gpt-5.6-sol-low_hybrid_r3,cholesky,gpt-5.6-sol-low,hybrid,3,true,7,8,1
cholesky_gpt-5.6-sol-medium_hybrid_r2,cholesky,gpt-5.6-sol-medium,hybrid,2,false,8,9,1
cholesky_qwen-3.6-27B-udq4_mpi_r3,cholesky,qwen-3.6-27B-udq4,mpi,3,true,7,8,1
floydwarshall_gemini-3-pro-preview_hybrid_r3,floydwarshall,gemini-3-pro-preview,hybrid,3,true,8,7,-1
floydwarshall_gpt-5.2-codex_hybrid_r1,floydwarshall,gpt-5.2-codex,hybrid,1,false,8,7,-1
floydwarshall_qwen3.7-plus_hybrid_r1,floydwarshall,qwen3.7-plus,hybrid,1,false,8,7,-1
floydwarshall_qwen3.7-plus_hybrid_r4,floydwarshall,qwen3.7-plus,hybrid,4,true,7,6,-1
matmul_claude-opus-4.6_hybrid_r5,matmul,claude-opus-4.6,hybrid,5,true,8,9,1
qtclustering_claude-opus-4.6_hybrid_r3,qtclustering,claude-opus-4.6,hybrid,3,true,7,6,-1
