program_id,reasons,overall_score,first_verdict,second_verdict,verdict_agreement,first_confidence,second_confidence,first_issue_categories,second_issue_categories,first_timing_only_fix_possible,second_timing_only_fix_possible
black-scholes_claude-haiku-4.5_mpi_r1,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing,true,true
black-scholes_claude-haiku-4.5_mpi_r2,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,missing_start_synchronization;missing_rank_aggregation;rank_local_timing,true,true
black-scholes_claude-haiku-4.5_mpi_r5,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,missing_rank_aggregation;rank_local_timing;missing_start_synchronization,true,true
black-scholes_claude-opus-4.6_hybrid_r3,competitive_invalid,9,invalid,invalid,true,high,high,missing_start_synchronization;missing_rank_aggregation;rank_local_timing;reported_value_mismatch,missing_rank_aggregation;rank_local_timing,true,true
black-scholes_claude-opus-4.6_hybrid_r4,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true
black-scholes_claude-opus-4.6_hybrid_r5,competitive_invalid,10,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true
black-scholes_claude-opus-4.6_mpi_r1,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,missing_rank_aggregation;rank_local_timing,true,true
black-scholes_claude-opus-4.6_mpi_r2,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing,true,true
black-scholes_claude-opus-4.6_mpi_r3,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing,true,true
black-scholes_claude-opus-4.6_mpi_r4,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true
black-scholes_claude-opus-4.6_mpi_r5,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true
black-scholes_claude-sonnet-4.5_mpi_r2,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true
black-scholes_claude-sonnet-4.5_mpi_r4,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing,true,true
black-scholes_deepseek-v4-flash_hybrid_r2,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing,true,true
