program_id,benchmark,model,par_type,run,overall_score,benchmark_median_time_ms,source_tree_oid,source_digest,verdict,confidence,issue_categories,timing_only_fix_possible
black-scholes_claude-haiku-4.5_hybrid_r3,black-scholes,claude-haiku-4.5,hybrid,3,7,1033.519,ebdf6b96db9c6a75b51511810d02c9795548bd88,c8b3eeaeeedcbee364589474866a83a70465f91f980812aa2a2fca1a4077b550,invalid,high,missing_rank_aggregation;rank_local_timing;missing_start_synchronization,true
black-scholes_claude-haiku-4.5_hybrid_r4,black-scholes,claude-haiku-4.5,hybrid,4,7,1804.553,55a4f00199826707615acc0162d9e94c3a09052e,a565f623e709f7bb9ba5860d06f9949937a11d34e511fc17d4b3122bd438a0d7,invalid,high,missing_start_synchronization;missing_rank_aggregation;rank_local_timing;wrong_mpi_datatype,true
black-scholes_claude-haiku-4.5_mpi_r1,black-scholes,claude-haiku-4.5,mpi,1,9,13.594,2187c2d59e6f6d4281c7e2168a19329997edd04e,08a2152886dafb3a0dbb50c6a87dbd0222b8f6b1eb3d66f930be0b46707a87c1,invalid,high,missing_rank_aggregation;rank_local_timing,true
black-scholes_claude-haiku-4.5_mpi_r2,black-scholes,claude-haiku-4.5,mpi,2,9,8.365,7e8c34dac822cee3f51e53668d749b2812bdb59f,f8986895204ff0378dc81a2c255806e177d2c23a8eaaef28004c0ef09ffdce4b,invalid,high,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true
black-scholes_claude-haiku-4.5_mpi_r3,black-scholes,claude-haiku-4.5,mpi,3,8,39.356,a3ef13e2b4eba5163189047e2cf646515b1284bc,0724e5f703b54ad28f66598534631e3eac6bc3e42156435c5a444057be97dba7,invalid,high,missing_start_synchronization;missing_rank_aggregation;rank_local_timing,true
black-scholes_claude-haiku-4.5_mpi_r5,black-scholes,claude-haiku-4.5,mpi,5,9,11.574,198d34456cde029205f295394166b46047a4d0f8,1de0b2c1eb56ea41c7a8317149a82ed065fba6d0755a42129c28b81b87311e6c,invalid,high,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true
black-scholes_claude-opus-4.6_hybrid_r1,black-scholes,claude-opus-4.6,hybrid,1,7,1044.498,616b88df3c220fd05a2dac8a478a67545fe366de,48fe75c1e0981100c6ea28b660c261fe1503cec373d78c626e174f3224a86136,invalid,high,missing_start_synchronization;missing_rank_aggregation;rank_local_timing,true
black-scholes_claude-opus-4.6_hybrid_r2,black-scholes,claude-opus-4.6,hybrid,2,7,2383.245,e8cbf44b2936b6b924fe6fc729f6e4d4c0ca98f9,0db8ba7a5e1c113966ab558b278124b8b0e9db7a3e7db9d12d11b2570bd4b73b,invalid,high,missing_start_synchronization;missing_rank_aggregation;rank_local_timing,true
black-scholes_claude-opus-4.6_hybrid_r3,black-scholes,claude-opus-4.6,hybrid,3,9,33.363,d574cc2106ebf32b8503d2f99806551a1b8b9903,7034bd079a3f78daa85522b45164b792462baf77c43e0581b29b80de0dbb3f14,invalid,high,missing_start_synchronization;missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true
black-scholes_claude-opus-4.6_hybrid_r4,black-scholes,claude-opus-4.6,hybrid,4,9,33.384,ec678283ae318c8342e240af8f851e048f968db9,ca5612fbf016aafbb5cecf9a5548ceefc1aee33c10ac8d293774e34318fd432c,invalid,high,missing_rank_aggregation;rank_local_timing,true
black-scholes_claude-opus-4.6_hybrid_r5,black-scholes,claude-opus-4.6,hybrid,5,10,21.693,d8ff8b37c02260e0aaa0024b56da5848798b690b,dc1ad2456d876e47ead7b035d5074ab211029b7d9d38dd195ab8e8bf976922ad,invalid,high,missing_rank_aggregation;rank_local_timing,true
black-scholes_claude-opus-4.6_mpi_r1,black-scholes,claude-opus-4.6,mpi,1,9,10.216,c76bb1a2ad5c4d8017381ee82c68278dca6190b1,6814fb094db397cefaa99862a67437deaf744d0e66f49ae8af2b306ecb292f96,invalid,high,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true
black-scholes_claude-opus-4.6_mpi_r2,black-scholes,claude-opus-4.6,mpi,2,9,7.572,2d18b8fb45e1e588b717f6cc077fa8f2cfff30ee,803a3c845c41640f6a979671604740a4aa144dd0b69de07d21e268f84f9d03fb,invalid,high,missing_rank_aggregation;rank_local_timing,true
black-scholes_claude-opus-4.6_mpi_r3,black-scholes,claude-opus-4.6,mpi,3,9,9.285,634e143c963c33dc856535e638b50a10f71b41f3,9dea477903f4c3e6f8efa3358b0e973ec6191492e5e3d361fd9b789186ce62c8,invalid,high,missing_rank_aggregation;rank_local_timing,true
black-scholes_claude-opus-4.6_mpi_r4,black-scholes,claude-opus-4.6,mpi,4,9,10.54,de9903125f81c9836b02425b3db459b2e04af154,8e4c2e64b71e49afc59a62788747ae9310b4de1b0687c392337d8985aacd39a9,invalid,high,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true
black-scholes_claude-opus-4.6_mpi_r5,black-scholes,claude-opus-4.6,mpi,5,9,10.971,e490c6969c96720242af8af1839252a0c6a71f49,de142ae721cf5c8abfbd7aa8c56aaad26827ebf1382fa1c1fdf1496137882b8d,invalid,high,missing_rank_aggregation;rank_local_timing,true
